TITLE,JRH_2056-7,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/12/10,,
TIME,9:47:01,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,450,,
LASTX,190,,
NPOINTS,261,,
FIRSTY,0.04348,,
MAXY,8.3063,,
MINY,-14.2553,,
XYDATA,,,
450,0.043482,291.829,0.00806036
449,0.0257375,296.238,0.00957362
448,0.00792795,297.874,0.00738711
447,-0.102255,297.753,0.00695254
446,-0.0317652,297.304,0.00663295
445,-0.193166,296.856,0.00656174
444,-0.112054,296.518,0.00671102
443,0.0999812,296.124,0.00696087
442,-0.110858,295.684,0.00708319
441,-0.0276123,295.401,0.0073206
440,0.0168081,294.953,0.00718175
439,0.0297236,293.983,0.00709355
438,0.119444,293.558,0.00764028
437,0.010495,294.094,0.00794639
436,0.110535,294.539,0.0078716
435,0.0401504,294.589,0.00778598
434,0.0311004,294.448,0.00782844
433,-0.0171646,294.224,0.00780453
432,-0.0152206,294.012,0.00803842
431,0.247375,293.777,0.00832656
430,0.238098,293.49,0.00847145
429,0.193518,293.156,0.00822065
428,0.0695384,292.836,0.0083203
427,-0.0929102,292.536,0.00882545
426,-0.136406,292.223,0.00887943
425,-0.143726,291.892,0.00890133
424,0.0551936,291.52,0.00889867
423,0.159531,291.112,0.00888737
422,0.188696,290.518,0.00912842
421,0.0395315,289.451,0.00924098
420,0.0427088,288.295,0.00973063
419,0.0399455,288.509,0.0106459
418,0.071165,289.498,0.0107734
417,0.111689,289.693,0.0104802
416,0.161347,289.46,0.0107749
415,0.190368,289.094,0.0109066
414,0.0354472,288.571,0.0112543
413,0.114598,287.964,0.011729
412,0.0620016,287.659,0.0120193
411,0.176062,287.67,0.0125735
410,0.087738,287.617,0.0127446
409,0.17211,287.414,0.0127794
408,0.0595581,287.477,0.0133405
407,0.141126,287.595,0.0138223
406,0.0897486,287.509,0.0142578
405,0.218737,287.395,0.0145974
404,0.158465,287.326,0.0151352
403,0.136756,287.129,0.0155707
402,0.157551,286.794,0.0157584
401,0.102374,286.24,0.0163004
400,0.162082,285.444,0.0165183
399,0.212784,284.483,0.0172133
398,0.196682,283.793,0.0181233
397,0.0493057,283.647,0.0188697
396,0.208907,284.004,0.0194321
395,0.383585,284.711,0.0201097
394,0.271143,285.182,0.0203265
393,0.234275,285.409,0.0207955
392,0.275165,285.596,0.0213883
391,0.350498,285.697,0.0219721
390,0.427459,285.84,0.0225633
389,0.464102,286.071,0.0234479
388,0.37296,286.205,0.0237666
387,0.439052,286.182,0.0241401
386,0.383742,286.041,0.0245632
385,0.373645,285.868,0.0252931
384,0.435741,285.639,0.0258245
383,0.475681,285.415,0.0265892
382,0.479755,285.144,0.0270424
381,0.513264,284.962,0.0274086
380,0.83615,284.907,0.0283877
379,0.563963,284.882,0.0291901
378,0.666273,284.843,0.0300498
377,0.759174,284.842,0.0308612
376,0.819758,284.828,0.0317595
375,0.725394,284.765,0.0327802
374,0.722149,284.644,0.0336055
373,0.755602,284.487,0.0345629
372,0.847976,284.32,0.0354968
371,0.942405,284.213,0.0366252
370,0.91057,284.18,0.0378916
369,0.873568,284.208,0.039255
368,0.959042,284.268,0.0405594
367,1.03892,284.36,0.0422586
366,0.956413,284.456,0.0441985
365,0.939391,284.616,0.046276
364,0.887305,284.774,0.0484698
363,1.02049,284.949,0.0512738
362,1.0812,285.143,0.054348
361,1.13747,285.352,0.0573371
360,1.10126,285.628,0.0611538
359,1.13647,285.987,0.0654645
358,1.11274,286.376,0.0700544
357,1.09379,286.814,0.0756674
356,1.12593,287.301,0.0816803
355,1.2871,287.897,0.0885185
354,1.20508,288.566,0.0955405
353,1.23455,289.24,0.102941
352,1.3048,289.966,0.110971
351,1.30678,290.71,0.119011
350,1.16283,291.467,0.127291
349,1.13557,292.18,0.135433
348,1.33258,292.831,0.142875
347,1.21117,293.411,0.149358
346,1.20712,293.886,0.155258
345,1.17269,294.249,0.160097
344,1.18479,294.499,0.163913
343,1.19477,294.687,0.166762
342,1.04242,294.801,0.168894
341,0.972293,294.835,0.170724
340,0.980748,294.818,0.171783
339,1.09395,294.761,0.172381
338,1.03321,294.697,0.173168
337,1.02588,294.61,0.173474
336,1.0169,294.499,0.173211
335,0.913605,294.432,0.172711
334,0.94346,294.334,0.171992
333,0.990838,294.229,0.171238
332,0.745305,294.112,0.170369
331,0.61429,293.996,0.169422
330,0.660124,293.85,0.16806
329,0.708709,293.705,0.166936
328,0.670284,293.609,0.166087
327,0.740659,293.481,0.165155
326,0.639636,293.306,0.16365
325,0.557236,293.072,0.161985
324,0.58684,292.695,0.16029
323,0.344301,292.21,0.159056
322,0.11208,292.179,0.157633
321,0.256544,292.354,0.156571
320,0.336026,292.315,0.15622
319,0.290376,292.345,0.156362
318,0.332535,292.452,0.157424
317,0.241061,292.648,0.158966
316,0.185632,292.9,0.161291
315,0.140834,293.172,0.164315
314,0.129495,293.378,0.167705
313,0.177834,293.56,0.172061
312,0.184037,294.01,0.17661
311,0.0822088,294.62,0.180423
310,0.100142,295.09,0.183499
309,0.255569,295.453,0.186652
308,0.127091,295.813,0.190212
307,0.0868419,296.184,0.193774
306,0.0113322,296.64,0.197849
305,0.0160812,297.182,0.202939
304,-0.0747894,297.792,0.208662
303,-0.0972926,298.48,0.215045
302,0.0751495,299.24,0.222438
301,0.0860601,300.057,0.230089
300,0.0236709,300.886,0.237973
299,0.106113,301.765,0.246017
298,0.041747,302.649,0.254156
297,0.144399,303.482,0.261828
296,0.11294,304.341,0.269429
295,0.222491,305.186,0.277029
294,0.262545,306.077,0.284769
293,0.383284,306.972,0.292533
292,0.381587,307.649,0.300385
291,0.368823,308.105,0.307862
290,0.469645,309.518,0.315284
289,0.630101,310.875,0.321573
288,0.917988,311.666,0.326539
287,1.08797,312.373,0.329992
286,0.972673,313.01,0.331737
285,0.827509,313.553,0.331859
284,0.90255,314.037,0.330421
283,1.06308,314.459,0.32752
282,1.1053,314.898,0.323962
281,0.859043,315.41,0.319952
280,0.795994,316.099,0.316334
279,0.759795,317.043,0.313405
278,0.540242,318.081,0.310151
277,0.418516,319.23,0.307022
276,0.156788,320.498,0.303633
275,0.101011,321.802,0.299647
274,-0.226797,323.087,0.295104
273,-0.229569,324.385,0.289866
272,-0.184789,325.747,0.284492
271,-0.733096,327.304,0.279034
270,-0.749851,329.135,0.274394
269,-0.970688,331.258,0.271435
268,-1.1507,333.672,0.271045
267,-1.05856,336.414,0.273341
266,-1.25882,339.58,0.279144
265,-1.56239,343.244,0.288946
264,-1.57278,347.421,0.303348
263,-1.53301,351.782,0.320508
262,-1.03668,356.149,0.338589
261,-1.07607,360.13,0.353953
260,-1.44398,363.367,0.3637
259,-1.42338,365.791,0.367347
258,-1.32837,367.632,0.368078
257,-1.2069,369.447,0.370478
256,-1.15138,371.686,0.378744
255,-1.13572,374.55,0.394428
254,-1.00406,378.092,0.417936
253,-0.895141,382.151,0.447559
252,-1.0803,386.486,0.480614
251,-0.827907,390.834,0.515398
250,-0.785206,395.029,0.550113
249,-0.213944,399.088,0.584906
248,-0.0467209,403.102,0.620835
247,0.233018,407.356,0.65902
246,0.583977,412.037,0.700443
245,0.77952,417.242,0.746372
244,1.25239,423.17,0.797593
243,1.78574,429.86,0.854096
242,1.64222,437.093,0.913158
241,1.71834,444.443,0.969041
240,2.00015,451.457,1.01988
239,2.41935,457.804,1.0637
238,2.93809,463.347,1.10071
237,3.14883,468.267,1.13253
236,4.29047,472.587,1.15913
235,5.19421,475.984,1.17848
234,5.71483,478.229,1.18917
233,5.77603,479.164,1.19001
232,6.30349,479.02,1.18323
231,7.01966,478.151,1.17064
230,7.60854,476.806,1.15466
229,7.21185,475.609,1.13723
228,7.21448,474.474,1.11892
227,8.3063,473.128,1.09947
226,8.25141,471.706,1.07934
225,7.76477,470.361,1.05908
224,7.56729,469.452,1.04105
223,7.54356,469.176,1.02637
222,7.68895,469.591,1.01569
221,7.4112,470.829,1.0106
220,6.53719,472.847,1.0109
219,5.61532,475.434,1.01468
218,5.30328,478.163,1.01936
217,5.52221,480.498,1.02133
216,4.36105,482.124,1.01781
215,3.51211,483.103,1.00901
214,2.35514,483.708,0.996702
213,1.54747,484.499,0.982567
212,0.982727,485.736,0.968245
211,0.0803675,487.228,0.954033
210,-1.56638,488.794,0.938427
209,-2.09927,490.41,0.92084
208,-2.54763,491.893,0.901806
207,-3.23264,492.937,0.879872
206,-2.98845,493.382,0.855362
205,-2.59279,493.097,0.82786
204,-3.39187,492.439,0.798406
203,-4.50272,491.886,0.769497
202,-3.8841,491.596,0.742211
201,-4.37354,491.716,0.716629
200,-4.69748,492.489,0.694041
199,-4.28423,494.119,0.676199
198,-5.75536,496.935,0.66534
197,-7.2795,501.519,0.66506
196,-8.12288,508.517,0.68017
195,-10.143,518.633,0.716641
194,-11.8002,532.738,0.776033
193,-12.346,549.738,0.850568
192,-14.2553,567.446,0.923427
191,-12.9108,583.748,0.978899
190,-8.70776,598.253,1.01288
,,,
##### Extended Information,,,
[Comments],,,
Sample name,JRH_2056-7,,
Comment,80 ul stock 220 acn,,
User,,,
Division,,,
Company,University of Texas at Austin,,
,,,
[Detailed Information],,,
Creation date,12/10/2020 9:47,,
,,,
Data array type,Linear data array * 3,,
Horizontal axis,Wavelength [nm],,
Vertical axis(1),CD [mdeg],,
Vertical axis(2),HT [V],,
Vertical axis(3),Abs,,
Start,450 nm,,
End,190 nm,,
Data interval,1 nm,,
Data points,261,,
,,,
[Measurement Information],,,
Instrument name,CD Instrument,,
Model name,J-815,,
Serial No.,A007161168,,
,,,
Accessory,PTC-424S,,
Accessory S/N,A002561182,,
  Cell,1,,
  Temperature,20.00 C,,
  Control sensor,Holder,,
  Monitor sensor,Holder,,
  Start Mode,Start immediately,,
  Cell length,10 mm,,
,,,
Measurement date,12/10/2020 9:46,,
,,,
Photometric mode,CD, HT, Abs
